#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
755.370697,2001,2353.974235
762.162296,2001,2356.451361
724.92719,2001,2358.585178
764.620783,2001,2360.73549
741.795814,2001,2362.874502
772.926507,2001,2367.736757
669.608664,2001,2369.937108
799.664429,2001,2372.105463
753.792356,2001,2374.317426
699.680394,2001,2376.813233
672.826702,2001,2381.429524
844.423908,2001,2383.564939
707.060268,2001,2385.72636
709.912044,2001,2388.167666
797.066825,2001,2390.362835
668.265678,2001,2394.791206
668.981876,2001,2396.918914
676.030382,2001,2399.40683
736.923722,2001,2401.575569
738.631147,2001,2403.736495
716.127412,2001,2408.164055
814.040518,2001,2410.892704
644.458638,2001,2413.165781
725.917247,2001,2415.276591
792.74439,2001,2417.522515
662.753775,2001,2422.36029
757.960066,2001,2424.502221
716.004039,2001,2426.643569
753.428104,2001,2428.792626
772.195886,2001,2431.468283
836.37573,2001,2435.617816
905.963913,2001,2437.683884
880.978551,2001,2439.821213
824.762797,2001,2442.807268
951.959129,2001,2444.954808
784.325013,2001,2449.200244
870.178207,2001,2451.25667
874.15422,2001,2453.332095
881.336675,2001,2455.796516
686.708818,2001,2458.050197
896.653344,2001,2462.398965
900.813469,2001,2464.606482
890.911088,2001,2467.156418
752.445402,2001,2469.277872
790.700545,2001,2471.303982
680.657813,2001,2475.761273
928.024582,2001,2478.380641
867.198985,2001,2480.515085
866.978907,2001,2482.649471
937.488794,2001,2484.838446
909.468173,2001,2489.474074
930.50511,2001,2491.502231
851.940401,2001,2493.526121
668.087953,2001,2495.70174
743.997407,2001,2498.27393
805.493773,2001,2502.741059
896.777784,2001,2505.008256
797.482385,2001,2507.174903
794.707686,2001,2509.775302
960.202502,2001,2511.908818
985.58098,2001,2516.254848
941.457751,2001,2518.297906
691.412354,2001,2520.817401
893.549165,2001,2523.033164
918.445973,2001,2525.23325
977.494349,2001,2529.816467
822.334151,2001,2532.4351
768.472084,2001,2534.744389
867.801734,2001,2536.851956
930.416941,2001,2538.943064
949.877868,2001,2543.7707
1001.353526,2001,2546.168609
915.123419,2001,2548.484331
985.687978,2001,2550.85876
775.44056,2001,2553.792737
865.121677,2001,2558.187989
899.384209,2001,2560.341561
850.545151,2001,2562.555507
811.916326,2001,2565.628107
912.746437,2001,2567.747958
853.447345,2001,2571.928795
827.023418,2001,2574.032883
770.62115,2001,2576.115608
849.049341,2001,2578.874995
758.124231,2001,2581.138112
829.146586,2001,2585.347779
975.016648,2001,2587.75933
942.092724,2001,2590.624587
865.604067,2001,2593.074496
918.491539,2001,2596.108189
716.548134,2001,2600.54941
893.420294,2001,2603.012972
870.068414,2001,2605.052566
988.404915,2001,2607.149162
935.835513,2001,2609.502676
985.504803,2001,2616.312132
982.764346,2001,2618.800921
947.362068,2001,2620.86624
803.907488,2001,2623.217387
836.636869,2001,2627.320761
1013.437404,2001,2631.860196
1058.741676,2001,2634.013863
821.295071,2001,2636.207714
990.290429,2001,2638.900297
1031.950227,2001,2641.040887
1048.350017,2001,2645.234693
987.215347,2001,2647.249443
878.29841,2001,2649.8473
882.969178,2001,2651.861745
707.287803,2001,2653.91745
844.10184,2001,2658.866398
856.31227,2001,2661.344938
787.065403,2001,2663.385878
973.970571,2001,2665.416695
802.030501,2001,2667.507304
687.922763,2001,2672.039201
898.023387,2001,2674.098553
779.580643,2001,2676.132722
956.415543,2001,2678.15021
